EventID,EmployeeID,EventType,EventDate,Detail
EVT-HIRE-E00047,E00047,Hire,2024-11-09,
EVT-HIRE-E00048,E00048,Hire,2024-12-09,
EVT-HIRE-E00049,E00049,Hire,2024-11-10,
EVT-HIRE-E00050,E00050,Hire,2021-07-19,
EVT-HIRE-E00051,E00051,Hire,2025-04-03,
EVT-EXIT-E00051,E00051,Exit,2025-08-31,Resigned
EVT-HIRE-E00052,E00052,Hire,2025-05-14,
EVT-HIRE-E00053,E00053,Hire,2023-10-03,
EVT-HIRE-E00054,E00054,Hire,2022-01-24,
EVT-HIRE-E00055,E00055,Hire,2022-12-30,
EVT-EXIT-E00055,E00055,Exit,2023-04-28,Resigned
EVT-HIRE-E00056,E00056,Hire,2021-03-30,
EVT-EXIT-E00056,E00056,Exit,2021-06-22,Retirement
EVT-HIRE-E00057,E00057,Hire,2021-04-18,
EVT-HIRE-E00058,E00058,Hire,2023-04-08,
EVT-HIRE-E00059,E00059,Hire,2022-09-01,
EVT-EXIT-E00059,E00059,Exit,2022-10-04,Retirement
EVT-HIRE-E00060,E00060,Hire,2022-03-27,
EVT-EXIT-E00060,E00060,Exit,2022-07-06,Retirement
EVT-HIRE-E00061,E00061,Hire,2021-09-02,
EVT-HIRE-E00062,E00062,Hire,2020-03-27,
EVT-HIRE-E00063,E00063,Hire,2021-12-19,
EVT-HIRE-E00064,E00064,Hire,2021-08-27,
EVT-EXIT-E00064,E00064,Exit,2021-10-03,Resigned
EVT-HIRE-E00065,E00065,Hire,2023-01-26,
EVT-HIRE-E00066,E00066,Hire,2024-07-10,
EVT-HIRE-E00067,E00067,Hire,2022-09-20,
EVT-HIRE-E00068,E00068,Hire,2020-05-28,
EVT-HIRE-E00069,E00069,Hire,2023-12-05,
EVT-HIRE-E00070,E00070,Hire,2020-04-29,
EVT-HIRE-E00071,E00071,Hire,2025-02-16,
EVT-EXIT-E00071,E00071,Exit,2025-05-03,Retirement
EVT-HIRE-E00072,E00072,Hire,2021-03-08,
EVT-EXIT-E00072,E00072,Exit,2021-06-15,Retirement
EVT-HIRE-E00073,E00073,Hire,2021-06-20,
EVT-HIRE-E00074,E00074,Hire,2025-11-16,
EVT-EXIT-E00074,E00074,Exit,2025-12-01,Retirement
EVT-HIRE-E00075,E00075,Hire,2024-08-08,
EVT-HIRE-E00076,E00076,Hire,2022-10-28,
EVT-HIRE-E00077,E00077,Hire,2020-01-08,
EVT-HIRE-E00078,E00078,Hire,2024-10-29,
EVT-HIRE-E00079,E00079,Hire,2020-04-04,
EVT-HIRE-E00080,E00080,Hire,2020-11-15,
EVT-HIRE-E00081,E00081,Hire,2020-09-30,
EVT-HIRE-E00082,E00082,Hire,2024-12-12,
EVT-HIRE-E00083,E00083,Hire,2021-08-24,
EVT-HIRE-E00084,E00084,Hire,2021-02-26,
EVT-HIRE-E00085,E00085,Hire,2021-03-31,
EVT-HIRE-E00086,E00086,Hire,2025-04-12,
EVT-HIRE-E00087,E00087,Hire,2023-02-04,
EVT-HIRE-E00088,E00088,Hire,2025-05-15,
EVT-HIRE-E00089,E00089,Hire,2023-07-14,
EVT-HIRE-E00090,E00090,Hire,2024-10-22,
EVT-HIRE-E00091,E00091,Hire,2025-03-22,
EVT-EXIT-E00091,E00091,Exit,2025-07-04,Resigned
EVT-HIRE-E00092,E00092,Hire,2022-07-12,
EVT-HIRE-E00093,E00093,Hire,2022-01-04,
EVT-HIRE-E00094,E00094,Hire,2022-09-05,
EVT-HIRE-E00095,E00095,Hire,2025-03-25,
EVT-EXIT-E00095,E00095,Exit,2025-07-07,Resigned
EVT-HIRE-E00096,E00096,Hire,2025-11-21,
EVT-EXIT-E00096,E00096,Exit,2025-12-06,Resigned
EVT-HIRE-E00097,E00097,Hire,2022-12-22,
EVT-HIRE-E00098,E00098,Hire,2022-12-27,
EVT-EXIT-E00098,E00098,Exit,2023-03-15,Resigned
EVT-HIRE-E00099,E00099,Hire,2023-07-08,
EVT-HIRE-E00100,E00100,Hire,2024-03-09,
EVT-HIRE-E00101,E00101,Hire,2024-06-29,
EVT-EXIT-E00101,E00101,Exit,2024-09-28,Resigned
EVT-HIRE-E00102,E00102,Hire,2024-05-16,
EVT-HIRE-E00103,E00103,Hire,2021-01-18,
EVT-HIRE-E00104,E00104,Hire,2022-02-18,
EVT-HIRE-E00105,E00105,Hire,2024-07-07,
EVT-HIRE-E00106,E00106,Hire,2023-07-20,
EVT-HIRE-E00107,E00107,Hire,2024-07-23,
EVT-HIRE-E00108,E00108,Hire,2021-09-25,
EVT-EXIT-E00108,E00108,Exit,2021-11-23,Relocation
EVT-HIRE-E00109,E00109,Hire,2021-05-06,
EVT-HIRE-E00110,E00110,Hire,2021-12-30,
EVT-HIRE-E00111,E00111,Hire,2025-09-25,
EVT-HIRE-E00112,E00112,Hire,2024-07-15,
EVT-HIRE-E00113,E00113,Hire,2024-01-22,
EVT-HIRE-E00114,E00114,Hire,2023-01-11,
EVT-HIRE-E00115,E00115,Hire,2024-05-03,
EVT-HIRE-E00116,E00116,Hire,2022-10-23,
EVT-HIRE-E00117,E00117,Hire,2021-04-11,
EVT-HIRE-E00118,E00118,Hire,2020-02-18,
EVT-HIRE-E00119,E00119,Hire,2025-06-30,
EVT-EXIT-E00119,E00119,Exit,2025-11-07,Resigned
EVT-HIRE-E00120,E00120,Hire,2023-03-11,
EVT-HIRE-E00121,E00121,Hire,2021-03-23,
EVT-HIRE-E00122,E00122,Hire,2021-06-06,
EVT-HIRE-E00123,E00123,Hire,2020-07-01,
EVT-HIRE-E00124,E00124,Hire,2025-10-21,
EVT-EXIT-E00124,E00124,Exit,2025-12-30,Layoff
EVT-HIRE-E00125,E00125,Hire,2021-08-16,
EVT-HIRE-E00126,E00126,Hire,2023-01-23,
EVT-HIRE-E00127,E00127,Hire,2023-04-02,
EVT-HIRE-E00128,E00128,Hire,2024-06-10,
EVT-HIRE-E00129,E00129,Hire,2024-03-01,
EVT-EXIT-E00129,E00129,Exit,2024-04-29,Layoff
EVT-HIRE-E00130,E00130,Hire,2025-04-07,
EVT-HIRE-E00131,E00131,Hire,2023-04-14,
EVT-HIRE-E00132,E00132,Hire,2025-11-05,
EVT-HIRE-E00133,E00133,Hire,2025-09-26,
EVT-HIRE-E00134,E00134,Hire,2023-06-18,
EVT-HIRE-E00135,E00135,Hire,2020-06-08,
EVT-HIRE-E00136,E00136,Hire,2020-11-06,
EVT-HIRE-E00137,E00137,Hire,2021-08-01,
EVT-HIRE-E00138,E00138,Hire,2021-07-18,
EVT-HIRE-E00139,E00139,Hire,2022-06-05,
EVT-HIRE-E00140,E00140,Hire,2025-03-24,
EVT-HIRE-E00141,E00141,Hire,2020-02-15,
EVT-HIRE-E00142,E00142,Hire,2022-07-21,
EVT-HIRE-E00143,E00143,Hire,2024-11-30,
EVT-EXIT-E00143,E00143,Exit,2025-01-07,Resigned
EVT-HIRE-E00144,E00144,Hire,2023-10-12,
EVT-HIRE-E00145,E00145,Hire,2025-10-02,
EVT-HIRE-E00146,E00146,Hire,2024-10-22,
EVT-HIRE-E00147,E00147,Hire,2025-07-16,
EVT-EXIT-E00147,E00147,Exit,2025-10-23,Layoff
EVT-HIRE-E00148,E00148,Hire,2022-03-29,
EVT-HIRE-E00149,E00149,Hire,2025-09-06,
EVT-HIRE-E00150,E00150,Hire,2025-12-14,
EVT-HIRE-E00151,E00151,Hire,2025-08-05,
EVT-EXIT-E00151,E00151,Exit,2025-10-21,Relocation
EVT-HIRE-E00152,E00152,Hire,2023-01-12,
EVT-HIRE-E00153,E00153,Hire,2024-08-30,
EVT-EXIT-E00153,E00153,Exit,2024-10-18,Resigned
EVT-HIRE-E00154,E00154,Hire,2023-04-02,
EVT-HIRE-E00155,E00155,Hire,2021-07-12,
EVT-HIRE-E00156,E00156,Hire,2022-08-21,
EVT-HIRE-E00157,E00157,Hire,2024-10-25,
EVT-HIRE-E00158,E00158,Hire,2025-01-15,
EVT-HIRE-E00159,E00159,Hire,2025-11-08,
EVT-HIRE-E00160,E00160,Hire,2021-08-08,
EVT-EXIT-E00160,E00160,Exit,2021-12-01,Layoff
EVT-HIRE-E00161,E00161,Hire,2024-01-17,
EVT-HIRE-E00162,E00162,Hire,2024-12-20,
EVT-HIRE-E00163,E00163,Hire,2025-04-22,
EVT-HIRE-E00164,E00164,Hire,2020-04-18,
EVT-HIRE-E00165,E00165,Hire,2020-02-15,
EVT-HIRE-E00166,E00166,Hire,2024-06-10,
EVT-HIRE-E00167,E00167,Hire,2023-11-23,
EVT-EXIT-E00167,E00167,Exit,2024-04-13,Resigned
EVT-HIRE-E00168,E00168,Hire,2023-11-04,
EVT-HIRE-E00169,E00169,Hire,2024-10-31,
EVT-EXIT-E00169,E00169,Exit,2025-01-11,Retirement
EVT-HIRE-E00170,E00170,Hire,2024-03-31,
EVT-HIRE-E00171,E00171,Hire,2022-02-08,
EVT-EXIT-E00171,E00171,Exit,2022-03-19,Resigned
EVT-HIRE-E00172,E00172,Hire,2025-09-04,
EVT-EXIT-E00172,E00172,Exit,2025-12-12,Resigned
EVT-HIRE-E00173,E00173,Hire,2024-08-27,
EVT-HIRE-E00174,E00174,Hire,2023-12-09,
EVT-HIRE-E00175,E00175,Hire,2024-08-28,
EVT-HIRE-E00176,E00176,Hire,2024-10-14,
EVT-HIRE-E00177,E00177,Hire,2022-05-13,
EVT-HIRE-E00178,E00178,Hire,2023-06-26,
EVT-HIRE-E00179,E00179,Hire,2022-10-29,
EVT-HIRE-E00180,E00180,Hire,2023-03-31,
EVT-HIRE-E00181,E00181,Hire,2024-06-14,
EVT-HIRE-E00182,E00182,Hire,2021-06-22,
EVT-HIRE-E00183,E00183,Hire,2024-11-30,
EVT-HIRE-E00184,E00184,Hire,2024-11-18,
EVT-HIRE-E00185,E00185,Hire,2020-06-28,
EVT-HIRE-E00186,E00186,Hire,2025-08-29,
EVT-HIRE-E00187,E00187,Hire,2021-06-01,
EVT-HIRE-E00188,E00188,Hire,2020-10-03,
EVT-HIRE-E00189,E00189,Hire,2020-07-23,
EVT-HIRE-E00190,E00190,Hire,2023-09-16,
EVT-HIRE-E00191,E00191,Hire,2021-01-01,
EVT-HIRE-E00192,E00192,Hire,2022-09-27,
EVT-HIRE-E00193,E00193,Hire,2023-03-10,
EVT-HIRE-E00194,E00194,Hire,2024-06-16,
EVT-HIRE-E00195,E00195,Hire,2025-06-15,
EVT-HIRE-E00196,E00196,Hire,2021-02-16,
EVT-HIRE-E00197,E00197,Hire,2025-11-05,
EVT-HIRE-E00198,E00198,Hire,2021-02-22,
EVT-HIRE-E00199,E00199,Hire,2020-09-13,
EVT-EXIT-E00199,E00199,Exit,2021-02-05,Layoff
EVT-HIRE-E00200,E00200,Hire,2023-04-21,
EVT-EXIT-E00200,E00200,Exit,2023-08-21,Resigned
EVT-HIRE-E00201,E00201,Hire,2024-04-18,
EVT-HIRE-E00202,E00202,Hire,2020-02-19,
EVT-EXIT-E00202,E00202,Exit,2020-06-04,Resigned
EVT-HIRE-E00203,E00203,Hire,2021-06-23,
EVT-HIRE-E00204,E00204,Hire,2020-05-04,
EVT-HIRE-E00205,E00205,Hire,2021-04-26,
EVT-HIRE-E00206,E00206,Hire,2023-01-29,
EVT-HIRE-E00207,E00207,Hire,2020-07-07,
EVT-HIRE-E00208,E00208,Hire,2025-04-01,
EVT-EXIT-E00208,E00208,Exit,2025-08-05,Retirement
EVT-HIRE-E00209,E00209,Hire,2020-05-25,
EVT-HIRE-E00210,E00210,Hire,2023-03-22,
EVT-HIRE-E00211,E00211,Hire,2024-10-20,
EVT-HIRE-E00212,E00212,Hire,2024-10-12,
EVT-EXIT-E00212,E00212,Exit,2024-12-19,Resigned
EVT-HIRE-E00213,E00213,Hire,2023-10-09,
EVT-HIRE-E00214,E00214,Hire,2024-04-21,
EVT-EXIT-E00214,E00214,Exit,2024-06-24,Resigned
EVT-HIRE-E00215,E00215,Hire,2025-12-07,
EVT-HIRE-E00216,E00216,Hire,2024-03-25,
EVT-HIRE-E00217,E00217,Hire,2024-08-11,
EVT-HIRE-E00218,E00218,Hire,2022-11-14,
EVT-EXIT-E00218,E00218,Exit,2022-12-22,Performance / Termination
EVT-HIRE-E00219,E00219,Hire,2021-02-13,
EVT-HIRE-E00220,E00220,Hire,2024-01-18,
EVT-HIRE-E00221,E00221,Hire,2025-03-18,
EVT-HIRE-E00222,E00222,Hire,2023-01-02,
EVT-HIRE-E00223,E00223,Hire,2021-09-28,
EVT-HIRE-E00224,E00224,Hire,2020-03-20,
EVT-HIRE-E00225,E00225,Hire,2023-08-10,
EVT-EXIT-E00225,E00225,Exit,2023-11-10,Resigned
EVT-HIRE-E00226,E00226,Hire,2021-09-28,
EVT-HIRE-E00227,E00227,Hire,2025-12-24,
EVT-EXIT-E00227,E00227,Exit,2025-12-30,Retirement
EVT-HIRE-E00228,E00228,Hire,2024-10-09,
EVT-HIRE-E00229,E00229,Hire,2020-03-29,
EVT-HIRE-E00230,E00230,Hire,2022-03-24,
EVT-EXIT-E00230,E00230,Exit,2022-04-23,Layoff
EVT-HIRE-E00231,E00231,Hire,2024-04-27,
EVT-HIRE-E00232,E00232,Hire,2025-03-19,
EVT-HIRE-E00233,E00233,Hire,2021-08-22,
EVT-HIRE-E00234,E00234,Hire,2024-05-06,
EVT-EXIT-E00234,E00234,Exit,2024-09-06,Resigned
EVT-HIRE-E00235,E00235,Hire,2021-12-15,
EVT-EXIT-E00235,E00235,Exit,2022-01-18,Retirement
EVT-HIRE-E00236,E00236,Hire,2025-06-09,
EVT-HIRE-E00237,E00237,Hire,2020-04-14,
EVT-EXIT-E00237,E00237,Exit,2020-06-22,Performance / Termination
EVT-HIRE-E00238,E00238,Hire,2025-01-19,
EVT-HIRE-E00239,E00239,Hire,2021-11-24,
EVT-EXIT-E00239,E00239,Exit,2022-04-01,Resigned
EVT-HIRE-E00240,E00240,Hire,2022-11-27,
EVT-HIRE-E00241,E00241,Hire,2024-09-16,
EVT-EXIT-E00241,E00241,Exit,2024-10-31,Performance / Termination
EVT-HIRE-E00242,E00242,Hire,2023-01-23,
EVT-HIRE-E00243,E00243,Hire,2022-06-17,
EVT-HIRE-E00244,E00244,Hire,2022-05-14,
EVT-HIRE-E00245,E00245,Hire,2020-07-01,
EVT-HIRE-E00246,E00246,Hire,2022-05-24,
EVT-HIRE-E00247,E00247,Hire,2020-06-05,
EVT-HIRE-E00248,E00248,Hire,2024-04-21,
EVT-EXIT-E00248,E00248,Exit,2024-06-04,Layoff
EVT-HIRE-E00249,E00249,Hire,2020-09-19,
EVT-HIRE-E00250,E00250,Hire,2022-06-23,
EVT-HIRE-E00251,E00251,Hire,2020-02-03,
EVT-EXIT-E00251,E00251,Exit,2020-06-16,Resigned
EVT-HIRE-E00252,E00252,Hire,2025-04-04,
EVT-HIRE-E00253,E00253,Hire,2023-06-27,
EVT-HIRE-E00254,E00254,Hire,2023-08-05,
EVT-HIRE-E00255,E00255,Hire,2021-11-26,
EVT-HIRE-E00256,E00256,Hire,2022-03-13,
EVT-HIRE-E00257,E00257,Hire,2021-10-17,
EVT-EXIT-E00257,E00257,Exit,2022-01-18,Retirement
EVT-HIRE-E00258,E00258,Hire,2020-10-25,
EVT-HIRE-E00259,E00259,Hire,2023-06-20,
EVT-HIRE-E00260,E00260,Hire,2025-07-24,
EVT-EXIT-E00260,E00260,Exit,2025-11-25,Layoff
EVT-HIRE-E00261,E00261,Hire,2025-11-28,
EVT-HIRE-E00262,E00262,Hire,2021-04-15,
EVT-HIRE-E00263,E00263,Hire,2022-10-30,
EVT-HIRE-E00264,E00264,Hire,2025-07-10,
EVT-HIRE-E00265,E00265,Hire,2024-08-29,
EVT-HIRE-E00266,E00266,Hire,2022-03-25,
EVT-HIRE-E00267,E00267,Hire,2023-06-24,
EVT-HIRE-E00268,E00268,Hire,2021-11-22,
EVT-HIRE-E00269,E00269,Hire,2025-03-31,
EVT-HIRE-E00270,E00270,Hire,2023-10-02,
EVT-HIRE-E00271,E00271,Hire,2021-08-15,
EVT-HIRE-E00272,E00272,Hire,2025-08-12,
EVT-HIRE-E00273,E00273,Hire,2020-04-21,
EVT-HIRE-E00274,E00274,Hire,2025-04-25,
EVT-HIRE-E00275,E00275,Hire,2022-02-10,
EVT-HIRE-E00276,E00276,Hire,2022-04-21,
EVT-HIRE-E00277,E00277,Hire,2021-02-01,
EVT-HIRE-E00278,E00278,Hire,2023-10-01,
EVT-HIRE-E00279,E00279,Hire,2024-09-02,
EVT-HIRE-E00280,E00280,Hire,2023-11-22,
EVT-HIRE-E00281,E00281,Hire,2024-02-06,
EVT-HIRE-E00282,E00282,Hire,2025-04-27,
EVT-HIRE-E00283,E00283,Hire,2022-08-02,
EVT-HIRE-E00284,E00284,Hire,2022-06-12,
EVT-HIRE-E00285,E00285,Hire,2025-01-16,
EVT-EXIT-E00285,E00285,Exit,2025-03-24,Layoff
EVT-HIRE-E00286,E00286,Hire,2025-10-18,
EVT-HIRE-E00287,E00287,Hire,2024-12-13,
EVT-HIRE-E00288,E00288,Hire,2020-12-30,
EVT-HIRE-E00289,E00289,Hire,2024-03-14,
EVT-EXIT-E00289,E00289,Exit,2024-08-11,Performance / Termination
EVT-HIRE-E00290,E00290,Hire,2023-10-23,
EVT-HIRE-E00291,E00291,Hire,2022-10-24,
EVT-HIRE-E00292,E00292,Hire,2020-10-19,
EVT-HIRE-E00293,E00293,Hire,2024-04-13,
EVT-EXIT-E00293,E00293,Exit,2024-08-24,Layoff
EVT-HIRE-E00294,E00294,Hire,2024-01-19,
EVT-HIRE-E00295,E00295,Hire,2024-08-18,
EVT-HIRE-E00296,E00296,Hire,2025-07-21,
EVT-HIRE-E00297,E00297,Hire,2023-07-06,
EVT-HIRE-E00298,E00298,Hire,2023-09-12,
EVT-HIRE-E00299,E00299,Hire,2021-08-10,
EVT-HIRE-E00300,E00300,Hire,2024-02-07,
EVT-HIRE-E00301,E00301,Hire,2020-08-26,
EVT-HIRE-E00302,E00302,Hire,2025-07-26,
EVT-HIRE-E00303,E00303,Hire,2021-02-06,
EVT-EXIT-E00303,E00303,Exit,2021-04-25,Performance / Termination
EVT-HIRE-E00304,E00304,Hire,2025-04-18,
EVT-EXIT-E00304,E00304,Exit,2025-07-08,Resigned
EVT-HIRE-E00305,E00305,Hire,2020-10-27,
EVT-HIRE-E00306,E00306,Hire,2022-04-14,
EVT-EXIT-E00306,E00306,Exit,2022-07-18,Performance / Termination
EVT-HIRE-E00307,E00307,Hire,2025-05-06,
EVT-HIRE-E00308,E00308,Hire,2022-07-17,
EVT-HIRE-E00309,E00309,Hire,2023-02-08,
EVT-EXIT-E00309,E00309,Exit,2023-04-20,Resigned
EVT-HIRE-E00310,E00310,Hire,2024-02-20,
EVT-HIRE-E00311,E00311,Hire,2022-09-23,
EVT-EXIT-E00311,E00311,Exit,2022-12-28,Resigned
EVT-HIRE-E00312,E00312,Hire,2021-12-19,
EVT-HIRE-E00313,E00313,Hire,2025-07-26,
EVT-HIRE-E00314,E00314,Hire,2024-12-01,
EVT-HIRE-E00315,E00315,Hire,2023-07-27,
EVT-EXIT-E00315,E00315,Exit,2023-12-12,Performance / Termination
EVT-HIRE-E00316,E00316,Hire,2020-05-23,
EVT-HIRE-E00317,E00317,Hire,2023-10-09,
EVT-HIRE-E00318,E00318,Hire,2025-01-09,
EVT-EXIT-E00318,E00318,Exit,2025-03-10,Resigned
EVT-HIRE-E00319,E00319,Hire,2024-04-24,
EVT-HIRE-E00320,E00320,Hire,2025-01-31,
EVT-HIRE-E00321,E00321,Hire,2021-03-28,
EVT-HIRE-E00322,E00322,Hire,2020-11-30,
EVT-HIRE-E00323,E00323,Hire,2021-10-30,
EVT-HIRE-E00324,E00324,Hire,2024-12-14,
EVT-HIRE-E00325,E00325,Hire,2024-01-05,
EVT-EXIT-E00325,E00325,Exit,2024-04-05,Retirement
EVT-HIRE-E00326,E00326,Hire,2020-09-24,
EVT-HIRE-E00327,E00327,Hire,2020-10-01,
EVT-HIRE-E00328,E00328,Hire,2023-06-24,
EVT-HIRE-E00329,E00329,Hire,2022-11-12,
EVT-HIRE-E00330,E00330,Hire,2022-04-22,
EVT-HIRE-E00331,E00331,Hire,2023-01-10,
EVT-EXIT-E00331,E00331,Exit,2023-04-21,Relocation
EVT-HIRE-E00332,E00332,Hire,2022-09-14,
EVT-HIRE-E00333,E00333,Hire,2023-08-12,
EVT-HIRE-E00334,E00334,Hire,2023-08-02,
EVT-HIRE-E00335,E00335,Hire,2022-01-07,
EVT-EXIT-E00335,E00335,Exit,2022-05-11,Relocation
EVT-HIRE-E00336,E00336,Hire,2025-05-14,
EVT-HIRE-E00337,E00337,Hire,2022-06-10,
EVT-HIRE-E00338,E00338,Hire,2023-02-18,
EVT-HIRE-E00339,E00339,Hire,2025-01-22,
EVT-HIRE-E00340,E00340,Hire,2021-03-19,
EVT-HIRE-E00341,E00341,Hire,2022-07-22,
EVT-HIRE-E00342,E00342,Hire,2024-10-15,
EVT-HIRE-E00343,E00343,Hire,2024-04-24,
EVT-HIRE-E00344,E00344,Hire,2020-09-18,
EVT-HIRE-E00345,E00345,Hire,2021-05-22,
EVT-HIRE-E00346,E00346,Hire,2020-05-15,
EVT-EXIT-E00346,E00346,Exit,2020-08-19,Retirement
EVT-HIRE-E00347,E00347,Hire,2020-08-07,
EVT-HIRE-E00348,E00348,Hire,2022-01-09,
EVT-EXIT-E00348,E00348,Exit,2022-03-20,Resigned
EVT-HIRE-E00349,E00349,Hire,2021-04-05,
EVT-EXIT-E00349,E00349,Exit,2021-06-15,Retirement
EVT-HIRE-E00350,E00350,Hire,2023-01-12,
EVT-HIRE-E00351,E00351,Hire,2021-08-23,
EVT-HIRE-E00352,E00352,Hire,2024-10-07,
EVT-EXIT-E00352,E00352,Exit,2025-01-14,Retirement
EVT-HIRE-E00353,E00353,Hire,2022-01-29,
EVT-HIRE-E00354,E00354,Hire,2024-02-05,
EVT-HIRE-E00355,E00355,Hire,2022-09-14,
EVT-HIRE-E00356,E00356,Hire,2025-08-22,
EVT-HIRE-E00357,E00357,Hire,2020-01-01,
EVT-EXIT-E00357,E00357,Exit,2020-03-18,Resigned
EVT-HIRE-E00358,E00358,Hire,2022-06-01,
EVT-HIRE-E00359,E00359,Hire,2024-05-02,
EVT-HIRE-E00360,E00360,Hire,2020-06-11,
EVT-HIRE-E00361,E00361,Hire,2021-07-24,
EVT-EXIT-E00361,E00361,Exit,2021-10-09,Resigned
EVT-HIRE-E00362,E00362,Hire,2022-06-18,
EVT-HIRE-E00363,E00363,Hire,2023-09-28,
EVT-HIRE-E00364,E00364,Hire,2022-05-03,
EVT-EXIT-E00364,E00364,Exit,2022-07-08,Performance / Termination
EVT-HIRE-E00365,E00365,Hire,2024-10-05,
EVT-HIRE-E00366,E00366,Hire,2021-05-08,
EVT-EXIT-E00366,E00366,Exit,2021-07-06,Resigned
EVT-HIRE-E00367,E00367,Hire,2021-05-29,
EVT-HIRE-E00368,E00368,Hire,2020-04-18,
EVT-HIRE-E00369,E00369,Hire,2022-09-06,
EVT-HIRE-E00370,E00370,Hire,2025-11-10,
EVT-HIRE-E00371,E00371,Hire,2023-07-20,
EVT-HIRE-E00372,E00372,Hire,2020-10-09,
EVT-HIRE-E00373,E00373,Hire,2020-09-28,
EVT-HIRE-E00374,E00374,Hire,2024-11-21,
EVT-EXIT-E00374,E00374,Exit,2025-01-17,Layoff
EVT-HIRE-E00375,E00375,Hire,2023-09-17,
EVT-HIRE-E00376,E00376,Hire,2022-03-04,
EVT-HIRE-E00377,E00377,Hire,2023-01-06,
EVT-HIRE-E00378,E00378,Hire,2020-04-06,
EVT-HIRE-E00379,E00379,Hire,2023-05-23,
EVT-HIRE-E00380,E00380,Hire,2020-03-01,
EVT-HIRE-E00381,E00381,Hire,2021-08-23,
EVT-HIRE-E00382,E00382,Hire,2024-05-21,
EVT-EXIT-E00382,E00382,Exit,2024-07-12,Resigned
EVT-HIRE-E00383,E00383,Hire,2024-03-18,
EVT-EXIT-E00383,E00383,Exit,2024-06-06,Resigned
EVT-HIRE-E00384,E00384,Hire,2025-08-02,
EVT-HIRE-E00385,E00385,Hire,2021-05-25,
EVT-HIRE-E00386,E00386,Hire,2025-12-04,
EVT-HIRE-E00387,E00387,Hire,2022-07-29,
EVT-HIRE-E00388,E00388,Hire,2023-11-28,
