EmployeeID,Gender,Age,MaritalStatus,Education,Department,JobRole,JobLevel,OfficeLocation,EmploymentType,HireDate,ExitDate,IsActive,ExitReason,SalaryAnnual,BonusPct,PerformanceRating,SatisfactionScore,TenureMonths,AbsenteeDays
E02887,Male,28,Married,High School,Research & Development,Product Engineer,3,Delhi,Full-Time,2022-06-15,,True,,184500,5,4,5,43,6
E01898,Female,39,Single,High School,Operations,Logistics Coordinator,4,Bengaluru,Full-Time,2023-11-21,,True,,103500,15,3,5,25,9
E00058,male,26,Married,PhD,Finance,Credit Analyst,1,Chennai,Full-Time,2023-04-08,,True,,67500,10,1,6,33,4
E01466,Female,28,Married,High School,Marketing,Marketing Analyst,1,Remote,Full-Time,2025-03-25,,True,,83500,0,4,5,9,0
E02415,Female,32,Divorced,Diploma,Sales,Business Development,2,Hyderabad,Full-Time,2023-08-17,2023-11-30,False,Retirement,122500,5,4,6,3,8
E00167,Male,37,Single,High School,Marketing,SEO Specialist,4,Hyderabad,Contract,2023-11-23,2024-04-13,False,Resigned,127000,5,3,7,4,12
E01489,Male,33,Single,Bachelor,IT,Software Engineer,1,Delhi,Full-Time,2024-06-30,,True,,90000,0,2,10,18,13
E00105,Female,33,Married,PhD,Operations,Logistics Coordinator,2,Mumbai,Full-Time,2024-07-07,,True,,104000,0,5,8,18,8
E02239,Female,29,Married,Bachelor,Operations,Operations Analyst,1,Delhi,Full-Time,2024-04-18,,True,,59000,15,2,3,20,5
E00509,Female,36,Single,Bachelor,Research & Development,Research Scientist,6,Mumbai,Full-Time,2025-11-09,2025-11-24,False,Resigned,228500,5,4,7,1,5
E01992,Female,27,Married,PhD,Research & Development,Research Scientist,1,Bengaluru,Full-Time,2024-12-22,2025-02-15,False,Resigned,161500,0,4,1,1,5
E01381,Male,31,Married,PhD,Operations,Operations Analyst,1,Hyderabad,Full-Time,2025-02-11,2025-07-04,False,Resigned,81500,5,3,3,4,1
E02298,Female,34,Single,Diploma,Human Resources,Recruiter,2,Delhi,Full-Time,2023-09-16,,True,,109000,15,3,8,27,12
E00930,Female,31,Single,Master,Sales,Sales Executive,1,Hyderabad,Full-Time,2024-07-25,,True,,64500,15,4,6,17,6
E01544,Male,23,Married,High School,Operations,Quality Analyst,1,Remote,Full-Time,2022-09-26,,True,,95000,0,3,8,39,7
E01657,Male,30,Married,PhD,Human Resources,HR Generalist,2,Delhi,Full-Time,2025-04-17,,True,,100500,0,5,4,8,7
E00892,Female,32,Married,Diploma,Human Resources,HR Analyst,2,Mumbai,Full-Time,2025-03-09,2025-06-09,False,Resigned,79000,20,4,7,3,16
E00755,Male,36,Divorced,Master,IT,Data Analyst,2,Remote,Full-Time,2025-03-04,,True,,99000,10,3,6,10,8
E02890,Female,34,Married,Diploma,Customer Support,Escalation Specialist,5,Delhi,Full-Time,2024-12-19,,True,,109500,5,4,4,12,16
E00373,Female,30,Married,Diploma,Human Resources,Recruiter,1,Mumbai,Full-Time,2020-09-28,,True,,71500,20,5,8,64,15
E01588,Female,37,Married,Master,Sales,Sales Executive,4,Mumbai,Contract,2022-01-31,2022-03-17,False,Resigned,140000,20,4,3,1,3
E01664,Male,30,Married,High School,Finance,Financial Analyst,2,Hyderabad,Part-Time,2023-01-27,,True,,84500,0,4,6,35,8
E00391,Female,34,Married,Bachelor,Marketing,SEO Specialist,3,Hyderabad,Full-Time,2023-06-05,,True,,103000,10,3,4,31,12
E01734,Male,31,Married,Bachelor,Finance,Accountant,2,Mumbai,Full-Time,2023-07-07,,True,,129000,0,5,7,30,7
E01067,Male,27,Married,PhD,Sales,Business Development,2,Bengaluru,Full-Time,2024-04-12,,True,,108000,5,4,5,20,0
E02130,Male,39,Married,Diploma,Operations,Operations Analyst,4,Mumbai,Full-Time,2022-11-05,,True,,109000,0,4,5,38,17
E00113,Female,29,Single,High School,Finance,Credit Analyst,4,Mumbai,Full-Time,2024-01-22,,True,,145500,15,3,8,23,0
E00989,Male,37,Single,High School,Marketing,Content Writer,5,Mumbai,Contract,2025-11-23,,True,,100000,10,4,5,1,0
E00671,female,35,Married,High School,Customer Support,Escalation Specialist,3,Bengaluru,Contract,2023-05-26,,True,,66500,0,4,4,31,0
E01591,Male,26,Single,High School,Sales,Account Executive,2,Mumbai,Part-Time,2023-02-17,,True,,107000,0,3,6,34,2
E02793,Male,34,Single,High School,Research & Development,Research Scientist,2,Mumbai,Full-Time,2023-08-18,,True,,182000,0,4,6,28,6
E01121,male,33,Single,High School,Research & Development,Product Engineer,4,Mumbai,Full-Time,2022-05-10,2022-07-22,False,Performance / Termination,183500,0,3,5,2,6
E02355,Male,42,Married,Master,Sales,Business Development,5,Remote,Full-Time,2025-07-04,,True,,136000,20,4,7,6,4
E02170,male,39,Single,Master,Operations,Operations Analyst,6,Remote,Full-Time,2022-01-27,2022-03-20,False,Performance / Termination,152500,0,1,7,1,12
E00857,Female,38,Single,PhD,Human Resources,Recruiter,3,Remote,Full-Time,2020-06-21,,True,,88500,5,4,6,67,4
E01047,Male,33,Married,Master,Customer Support,Escalation Specialist,2,Mumbai,Full-Time,2025-02-14,2025-07-09,False,Resigned,80000,0,3,5,4,10
E02986,Female,38,Married,High School,Finance,Credit Analyst,3,Remote,Full-Time,2022-11-26,,True,,124000,10,5,4,37,9
E02011,Male,29,Married,Master,Research & Development,Product Engineer,3,Delhi,Full-Time,2022-07-10,,True,,138000,5,1,8,42,9
E01048,Female,31,Single,Bachelor,Customer Support,Support Agent,1,Bengaluru,Full-Time,2020-11-02,,True,,65000,0,4,6,62,0
E00932,Female,29,Single,High School,IT,Data Analyst,1,Delhi,Full-Time,2022-09-16,2023-01-18,False,Resigned,147500,0,3,9,4,11
E00634,Male,28,Married,Diploma,Sales,Account Executive,2,Delhi,Full-Time,2020-04-14,,True,,98500,10,3,6,69,2
E00582,Male,38,Divorced,Master,Research & Development,Research Scientist,5,Delhi,Full-Time,2024-05-13,,True,,238500,0,5,6,19,9
E02414,Male,41,Single,Master,Finance,Credit Analyst,5,Hyderabad,Full-Time,2023-12-24,,True,,153000,10,2,7,24,3
E00290,Female,31,Married,High School,Finance,Financial Analyst,4,Hyderabad,Full-Time,2023-10-23,,True,,149500,0,2,7,26,6
E00971,Female,39,Single,High School,Sales,Business Development,4,Remote,Full-Time,2021-11-11,,True,,91000,0,4,6,50,13
E01555,Female,33,Married,Diploma,Human Resources,HR Analyst,3,Hyderabad,Full-Time,2025-12-15,,True,,93500,0,5,9,1,2
E01938,Male,37,Married,High School,Operations,Logistics Coordinator,4,Bengaluru,Full-Time,2024-11-20,,True,,127000,5,5,6,13,0
E01097,Male,30,Married,Master,IT,DevOps Engineer,1,Bengaluru,Full-Time,2021-06-13,,True,,147500,0,5,2,55,0
E02181,Female,35,Married,PhD,Sales,Sales Executive,3,Remote,Full-Time,2023-02-21,,True,,109500,0,4,6,34,20
E01702,Male,37,Married,PhD,,Content Writer,3,Hyderabad,Full-Time,2022-01-13,,True,,71000,20,3,6,48,4
E00690,Female,29,Married,Diploma,Operations,Quality Analyst,2,Remote,Full-Time,2020-01-16,,True,,110000,5,2,7,72,0
E02904,Female,30,Married,Master,Research & Development,Research Scientist,3,Hyderabad,Full-Time,2023-11-14,2024-02-16,False,Relocation,122000,0,4,2,3,0
E01828,Female,30,Married,Master,Human Resources,Recruiter,4,Remote,Full-Time,2024-09-28,,True,,104500,0,3,6,15,0
E00709,Female,34,Single,Diploma,Operations,Logistics Coordinator,3,Hyderabad,Full-Time,2023-12-14,,True,,81500,0,5,6,24,7
E02232,Male,31,Married,High School,IT,IT Support,5,Mumbai,Full-Time,2024-06-20,,True,,172000,0,3,4,18,0
E01610,Male,31,Married,Master,Finance,Financial Analyst,4,Mumbai,Full-Time,2021-12-08,,True,,104500,5,5,6,49,6
E00467,Male,30,Married,Bachelor,IT,IT Support,4,Bengaluru,Full-Time,2022-03-27,,True,,159000,5,4,7,45,13
E02014,Male,38,Married,Master,IT,DevOps Engineer,3,Remote,Full-Time,2025-05-08,,True,,124000,5,5,6,7,9
E01835,Male,35,Single,High School,Marketing,SEO Specialist,4,Bengaluru,Full-Time,2022-10-23,,True,,95500,15,5,5,38,4
E02830,Female,40,Married,Master,IT,Data Analyst,7,Bengaluru,Full-Time,2022-09-26,,True,,208000,20,5,3,39,0
E01668,Male,40,Married,Bachelor,Human Resources,Recruiter,6,Mumbai,Full-Time,2021-07-14,,True,,164500,10,4,10,54,13
E01586,Female,37,Married,High School,Sales,Sales Executive,3,Delhi,Full-Time,2024-02-10,,True,,112000,5,4,4,23,1
E01470,Male,25,Single,PhD,Customer Support,Support Agent,2,Mumbai,Full-Time,2021-04-17,2021-09-05,False,Resigned,60500,0,3,7,4,7
E00323,Male,31,Married,Master,Marketing,Content Writer,1,Delhi,Part-Time,2021-10-30,,True,,89500,0,5,5,50,22
E02033,Male,34,Divorced,Master,Customer Support,Escalation Specialist,3,Chennai,Full-Time,2022-05-04,,True,,74000,0,3,7,44,2
E00670,Female,35,Married,Master,Operations,Logistics Coordinator,4,Hyderabad,Full-Time,2023-12-08,,True,,113500,15,5,3,25,3
E02467,Male,38,Single,Bachelor,Operations,Operations Analyst,4,Remote,Contract,2023-12-02,2024-04-18,False,Resigned,128500,10,4,8,4,7
E01741,Male,38,Married,Master,Customer Support,Support Lead,5,Remote,Full-Time,2020-04-09,,True,,103500,15,3,10,69,6
E02156,Female,33,Married,Diploma,Sales,Business Development,2,Chennai,Full-Time,2022-05-30,2022-07-26,False,Retirement,92500,10,5,4,1,2
E01504,Female,40,Married,Master,Operations,Logistics Coordinator,5,Bengaluru,Full-Time,2022-11-17,,True,,116500,0,5,8,38,5
E02192,Female,38,Divorced,Diploma,Customer Support,Escalation Specialist,3,Hyderabad,Full-Time,2021-07-23,2021-09-13,False,Resigned,81000,5,3,5,1,5
E00076,Female,29,Married,PhD,Marketing,Content Writer,2,Mumbai,Full-Time,2022-10-28,,True,,74000,5,3,9,38,2
E00836,Male,29,Married,High School,Marketing,Marketing Analyst,2,Remote,Full-Time,2020-11-16,,True,,80000,0,5,8,62,3
E01380,Female,38,Married,PhD,Research & Development,Data Scientist,3,Bengaluru,Full-Time,2021-01-20,,True,,193500,5,4,7,60,2
E01170,Female,27,Married,PhD,IT,Software Engineer,3,Chennai,Full-Time,2024-09-04,,True,,152500,10,3,5,16,9
E00123,Female,29,Single,High School,Sales,Sales Executive,3,Delhi,Full-Time,2020-07-01,,True,,102000,0,5,8,66,7
E00102,Male,41,Married,High School,IT,IT Support,7,Chennai,Part-Time,2024-05-16,,True,,185500,0,4,5,19,10
E02558,Male,31,Married,Diploma,Sales,Account Executive,3,Mumbai,Full-Time,2020-01-23,,True,,90500,10,3,4,72,2
E01920,Male,38,Married,Master,Finance,Accountant,3,Delhi,Full-Time,2022-03-12,,True,,112000,15,3,5,46,4
E01758,Female,34,Married,Master,IT,IT Support,3,Bengaluru,Full-Time,2022-05-30,,True,,128500,5,3,4,43,10
E01299,Female,34,Married,High School,Operations,Quality Analyst,4,Remote,Full-Time,2021-07-18,,True,,141000,0,5,10,54,0
E00685,Male,32,Married,Bachelor,Finance,Accountant,1,Chennai,Full-Time,2020-03-17,,True,,105000,5,4,6,70,5
E02214,Female,35,Married,Diploma,Finance,Credit Analyst,2,Chennai,Full-Time,2021-03-11,,True,,104000,15,3,5,58,5
E02459,Female,30,Married,PhD,Research & Development,Product Engineer,3,Hyderabad,Full-Time,2024-10-23,,True,,209000,0,5,9,14,1
E00718,Female,28,Single,Diploma,Marketing,Marketing Analyst,2,Hyderabad,Full-Time,2022-07-30,,True,,99500,0,3,4,41,6
E02007,Female,35,Divorced,Diploma,Operations,Operations Analyst,2,Mumbai,Full-Time,2022-02-07,,True,,94500,5,3,4,47,11
E00150,Male,30,Single,PhD,Human Resources,Recruiter,1,Mumbai,Full-Time,2025-12-14,,True,,66500,0,5,5,1,16
E02753,Male,28,Single,Diploma,Operations,Logistics Coordinator,1,Bengaluru,Full-Time,2025-09-06,2025-11-27,False,Performance / Termination,89000,0,4,6,2,8
E00465,Male,36,Single,PhD,Sales,Account Executive,3,Bengaluru,Full-Time,2023-03-27,,True,,81000,10,3,7,33,0
E01301,Female,27,Single,High School,IT,Data Analyst,1,Remote,Full-Time,2021-09-05,2021-12-03,False,Resigned,92000,0,3,9,2,5
E01233,Male,37,Married,Bachelor,Human Resources,HR Analyst,3,Delhi,Full-Time,2023-10-10,,True,,105000,0,4,7,27,6
E02992,Male,28,Married,PhD,IT,DevOps Engineer,3,Chennai,Full-Time,2022-04-09,,True,,165000,0,2,8,45,7
E01010,Female,32,Single,Master,Sales,Account Executive,2,Mumbai,Full-Time,2025-11-26,2025-12-11,False,Resigned,80500,5,3,6,1,11
E01383,Male,33,Single,Diploma,Finance,Accountant,5,Chennai,Full-Time,2023-12-21,,True,,135000,0,2,5,24,6
E02997,Male,43,Married,Diploma,Sales,Sales Executive,6,Delhi,Full-Time,2023-04-30,,True,,184500,10,5,8,32,0
E00988,Female,30,Married,Bachelor,Finance,Credit Analyst,2,Delhi,Full-Time,2021-03-26,,True,,110500,10,5,6,58,0
E01071,Female,26,Single,Master,Customer Support,Support Agent,2,Hyderabad,Full-Time,2021-11-27,,True,,58000,10,5,6,49,0
E02291,female,35,Single,Master,Customer Support,Support Lead,2,Delhi,Full-Time,2024-08-31,,True,,83500,10,4,4,16,20
E02048,Male,35,Married,Master,Research & Development,Product Engineer,7,Mumbai,Full-Time,2022-08-29,,True,,303000,10,3,6,40,5
E02396,Female,30,Single,PhD,Sales,Account Executive,3,Delhi,Full-Time,2024-05-19,,True,,80000,5,3,2,19,10
E02560,Female,31,Divorced,High School,Customer Support,Support Lead,4,Chennai,Full-Time,2024-10-09,2024-12-13,False,Resigned,91500,0,2,8,2,7
E01597,Male,38,Married,Diploma,Customer Support,Support Lead,6,Chennai,Part-Time,2025-08-06,2025-09-15,False,Retirement,108000,0,3,7,1,12
E02950,Female,29,Married,Diploma,Research & Development,Research Scientist,4,Remote,Full-Time,2020-03-23,,True,,186500,15,3,7,70,0
E01917,Male,27,Married,High School,Operations,Operations Analyst,2,Bengaluru,Full-Time,2021-05-11,,True,,80000,0,5,6,56,2
E01603,Female,25,Married,Bachelor,Operations,Logistics Coordinator,2,Hyderabad,Part-Time,2021-09-07,,True,,98500,5,2,6,52,4
E01720,Male,34,Single,Bachelor,Finance,Financial Analyst,4,Remote,Full-Time,2024-06-15,,True,,151500,20,3,9,18,9
E01199,Male,33,Married,High School,Human Resources,Recruiter,3,Delhi,Full-Time,2024-04-14,,True,,106000,5,3,5,20,7
E02337,Male,24,Married,PhD,Operations,Quality Analyst,1,Remote,Full-Time,2021-04-09,,True,,66500,0,4,8,57,0
E02330,Female,37,Single,High School,Operations,Logistics Coordinator,5,Delhi,Part-Time,2021-05-05,2021-08-19,False,Retirement,136500,5,3,5,3,5
E00137,Female,36,Married,Bachelor,IT,DevOps Engineer,2,Hyderabad,Full-Time,2021-08-01,,True,,97500,0,4,5,53,10
E01679,Male,27,Single,Diploma,Operations,Quality Analyst,3,Hyderabad,Full-Time,2021-03-05,2021-06-26,False,Layoff,83000,10,4,5,3,9
E01515,Female,31,Single,Bachelor,Marketing,Content Writer,5,Bengaluru,Full-Time,2022-07-21,,True,,86500,0,5,5,41,8
E00858,Male,26,Married,Bachelor,Human Resources,HR Generalist,2,Bengaluru,Full-Time,2020-01-09,,True,,,5,4,7,72,3
E02939,Male,31,Married,PhD,Finance,Credit Analyst,5,Mumbai,Part-Time,2024-12-09,,True,,142000,5,4,6,12,11
E00312,Male,42,Single,PhD,Operations,Operations Analyst,6,Mumbai,Full-Time,2021-12-19,,True,,114500,5,3,6,49,6
E01216,Female,31,Married,Master,IT,Data Analyst,1,Mumbai,Full-Time,2025-12-15,,True,,84500,0,4,6,1,7
E02614,Male,33,Single,Master,Customer Support,Support Lead,3,Remote,Full-Time,2022-11-11,,True,,82000,5,3,7,38,6
E00636,Male,29,Married,Diploma,Operations,Logistics Coordinator,4,Remote,Full-Time,2020-10-21,,True,,108500,0,4,6,63,8
E00491,Male,30,Married,Bachelor,Sales,Account Executive,2,Chennai,Full-Time,2023-05-02,,True,,92000,10,4,5,32,2
E01656,Female,30,Married,Diploma,Customer Support,Support Agent,2,Bengaluru,Full-Time,2024-06-27,,True,,64000,10,2,4,18,9
E01177,male,250,Single,Diploma,Marketing,SEO Specialist,2,Bengaluru,Full-Time,2025-04-28,,True,,103500,10,3,2,8,2
E02713,Female,28,Married,PhD,Sales,Account Executive,1,Delhi,Full-Time,2021-05-12,,True,,70500,0,3,6,56,0
E01432,Female,24,Married,Master,Research & Development,Product Engineer,1,Hyderabad,Full-Time,2024-12-19,,True,,122500,0,3,6,12,6
E00745,Female,46,Single,Diploma,Operations,Operations Analyst,7,Chennai,Full-Time,2022-03-17,,True,,120000,10,4,7,46,8
E01344,Male,35,Married,Diploma,Research & Development,Product Engineer,2,Mumbai,Full-Time,2023-06-11,2023-09-28,False,Resigned,171000,5,4,6,3,3
E00803,Female,37,Married,High School,Operations,Logistics Coordinator,4,Remote,Full-Time,2021-05-10,,True,,117500,20,2,6,56,3
E02449,Female,28,Married,Diploma,Operations,Operations Analyst,2,Chennai,Full-Time,2021-11-29,2022-02-18,False,Resigned,83500,0,3,9,2,3
E01187,Male,34,Married,Bachelor,Sales,Sales Executive,4,Mumbai,Full-Time,2025-01-04,2025-04-23,False,Resigned,114000,10,4,8,3,7
E02921,Female,33,Divorced,Bachelor,IT,IT Support,3,Remote,Full-Time,2021-03-02,,True,,183500,5,3,8,58,2
E00307,Female,27,Divorced,PhD,Marketing,Content Writer,3,Mumbai,Full-Time,2025-05-06,,True,,67500,5,5,7,7,0
E02591,Male,23,Married,Diploma,Marketing,Marketing Analyst,1,Chennai,Part-Time,2023-06-25,2023-08-07,False,Resigned,61500,0,4,7,1,4
E02339,Male,25,Married,Master,Research & Development,Research Scientist,2,Bengaluru,Full-Time,2023-03-07,,True,,177000,5,4,7,34,0
E00519,Female,36,Married,Bachelor,Sales,Business Development,5,Hyderabad,Full-Time,2022-10-19,,True,,144500,20,4,7,38,15
E00914,Male,32,Divorced,Diploma,Research & Development,Data Scientist,2,Hyderabad,Contract,2024-08-16,2024-11-28,False,Retirement,164000,5,4,6,3,6
E00840,Male,23,Married,PhD,Finance,Financial Analyst,1,Mumbai,Full-Time,2023-07-16,2023-09-17,False,Resigned,72000,10,3,3,2,8
E02922,Female,27,Married,High School,Operations,Logistics Coordinator,2,Bengaluru,Full-Time,2022-12-16,2023-05-02,False,Retirement,64000,10,4,7,4,8
E00845,Male,37,Married,Master,Marketing,Marketing Analyst,3,Hyderabad,Full-Time,2024-10-05,,True,,110500,0,3,6,15,2
E00538,Female,38,Married,Bachelor,Research & Development,Product Engineer,3,Remote,Full-Time,2025-11-13,,True,,123500,0,5,4,1,8
E01289,Male,28,Married,Master,IT,IT Support,3,Chennai,Full-Time,2024-03-12,,True,,112000,0,5,7,21,2
E00131,Male,34,Married,Bachelor,Operations,Logistics Coordinator,2,Remote,Full-Time,2023-04-14,,True,,100000,15,3,4,33,12
E00277,Male,31,Married,Master,Finance,Credit Analyst,3,Hyderabad,Full-Time,2021-02-01,,True,,83500,5,2,7,59,0
E01397,Male,29,Married,PhD,Research & Development,Research Scientist,1,Remote,Full-Time,2025-01-08,,True,,151500,5,4,5,11,6
E02892,Female,25,Married,PhD,Human Resources,Recruiter,1,Remote,Full-Time,2021-05-31,,True,,58500,15,3,7,55,13
E02320,Female,35,Married,Bachelor,IT,Software Engineer,3,Remote,Full-Time,2024-04-04,,True,,164500,15,5,5,21,1
E00340,Female,32,Single,PhD,Customer Support,Support Agent,3,Hyderabad,Full-Time,2021-03-19,,True,,88500,5,5,8,58,12
E02773,Male,33,Married,Diploma,Finance,Credit Analyst,1,Delhi,Full-Time,2025-10-04,,True,,104500,10,5,6,2,14
E02625,Female,31,Single,Bachelor,Sales,Sales Executive,2,Bengaluru,Full-Time,2021-07-15,,True,,120500,5,1,7,54,11
E01077,Female,31,Married,Master,Research & Development,Data Scientist,1,Remote,Full-Time,2023-04-20,2023-07-23,False,Resigned,124000,5,3,9,3,0
E00654,Male,31,Married,Master,Customer Support,Support Lead,1,Mumbai,Full-Time,2024-01-04,2024-03-07,False,Resigned,70000,5,2,6,2,5
E02497,Male,26,Married,High School,Operations,Logistics Coordinator,1,Remote,Full-Time,2024-01-22,2024-02-25,False,Relocation,85000,0,4,4,1,10
E00850,Male,31,Married,Diploma,Operations,Quality Analyst,4,Bengaluru,Full-Time,2022-08-09,,True,,116500,15,5,6,41,0
E02121,Male,38,Married,Diploma,Finance,Credit Analyst,4,Hyderabad,Contract,2022-01-24,,True,,161000,0,4,6,47,10
E01924,Male,32,Married,Bachelor,Finance,Accountant,3,Remote,Full-Time,2022-03-29,,True,,135500,10,2,4,45,6
E01486,Unknown,38,Married,Master,Sales,Account Executive,4,Mumbai,Full-Time,2020-06-30,,True,,139500,5,5,6,67,8
E00194,Male,36,Married,Master,Human Resources,HR Analyst,5,Chennai,Full-Time,2024-06-16,,True,,95500,10,3,5,18,2
E00771,Female,39,Married,High School,IT,DevOps Engineer,7,Hyderabad,Full-Time,2024-06-19,,True,,180000,10,5,4,18,6
E00191,Female,34,Married,PhD,IT,Software Engineer,1,Chennai,Full-Time,2021-01-01,,True,,85000,0,5,3,60,14
E01661,Male,34,Married,Diploma,Finance,Financial Analyst,2,Delhi,Full-Time,2021-09-05,,True,,126500,15,2,5,52,15
E00660,Female,45,Married,PhD,Research & Development,Product Engineer,7,Chennai,Full-Time,2023-05-25,,True,,247500,20,3,3,31,10
E02946,Male,34,Married,Bachelor,Human Resources,HR Generalist,3,Bengaluru,Full-Time,2021-08-14,,True,,112500,10,3,9,53,14
E02056,Female,23,Married,Diploma,Finance,Accountant,1,Bengaluru,Full-Time,2021-02-27,,True,,84000,10,4,2,58,10
E00646,Unknown,34,Single,High School,Operations,Quality Analyst,2,Mumbai,Full-Time,2020-01-05,,True,,101000,5,3,8,72,3
E02632,Male,38,Married,Master,Customer Support,Support Lead,5,Delhi,Contract,2023-02-10,,True,,103500,0,3,6,35,4
E02131,Female,29,Married,Master,Operations,Quality Analyst,1,Chennai,Full-Time,2024-10-09,2025-02-10,False,Resigned,91500,0,4,7,4,6
E00966,Male,29,Married,Master,Sales,Account Executive,1,Chennai,Contract,2022-01-19,,True,,91500,0,3,1,48,5
E00954,Female,36,Single,Diploma,Marketing,Marketing Analyst,3,Bengaluru,Part-Time,2024-07-01,,True,,66500,0,4,7,18,11
E01830,Male,36,Married,Bachelor,Operations,Quality Analyst,2,Remote,Part-Time,2025-07-16,2025-09-09,False,Retirement,75000,10,4,5,1,7
E00750,Female,28,Married,Master,Finance,Credit Analyst,1,Remote,Full-Time,2021-04-29,,True,,96500,10,4,4,56,0
E02059,Female,31,Married,Bachelor,Marketing,Marketing Analyst,4,Remote,Full-Time,2021-10-25,,True,,78500,10,3,5,50,0
